county,precinct,office,district,party,candidate,absentee,election_date,votes
Story,Ames 1-1,President/Vice President,,Republican,Mitt Romney Paul Ryan,210.0,423.0,633.0
Story,Ames 1-1,President/Vice President,,Democratic,Barack Obama Joe Biden,473.0,445.0,918.0
Story,Ames 1-1,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,5.0,5.0
Story,Ames 1-1,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,1.0,2.0
Story,Ames 1-1,President/Vice President,,Libertarian,Gary Johnson James P. Gray,4.0,23.0,27.0
Story,Ames 1-1,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Story,Ames 1-1,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,1.0,0.0,1.0
Story,Ames 1-1,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,3.0,3.0
Story,Ames 1-1,President/Vice President,,,Write-In,3.0,10.0,13.0
Story,Ames 1-1,President/Vice President,,,Under Votes,1.0,3.0,4.0
Story,Ames 1-1,President/Vice President,,,Over Votes,0.0,0.0,0.0
Story,Ames 1-2,President/Vice President,,Republican,Mitt Romney Paul Ryan,188.0,367.0,555.0
Story,Ames 1-2,President/Vice President,,Democratic,Barack Obama Joe Biden,560.0,467.0,1027.0
Story,Ames 1-2,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,3.0,3.0
Story,Ames 1-2,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,2.0,2.0,4.0
Story,Ames 1-2,President/Vice President,,Libertarian,Gary Johnson James P. Gray,7.0,24.0,31.0
Story,Ames 1-2,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,1.0,1.0
Story,Ames 1-2,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Story,Ames 1-2,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,2.0,2.0
Story,Ames 1-2,President/Vice President,,,Write-In,2.0,7.0,9.0
Story,Ames 1-2,President/Vice President,,,Under Votes,3.0,1.0,4.0
Story,Ames 1-2,President/Vice President,,,Over Votes,0.0,0.0,0.0
Story,Ames 1-3 - Grant Twp 2,President/Vice President,,Republican,Mitt Romney Paul Ryan,123.0,246.0,369.0
Story,Ames 1-3 - Grant Twp 2,President/Vice President,,Democratic,Barack Obama Joe Biden,342.0,352.0,694.0
Story,Ames 1-3 - Grant Twp 2,President/Vice President,,Constitution,Virgil Goode James Clymer,2.0,2.0,4.0
